band_color,band_material,band_width,case_diameter,case_material,case_thickness,discount,img,item_weight,manufacturer,mrp,num_ratings,pay_on_delivery,rating,returnable,sp,title,warranty
NA,NA,NA,NA,NA,NA,-37%,https://m.media-amazon.com/images/I/41Ch2jgXeAL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹1,645.00",40 ratings,TRUE,4.1,TRUE,"1,645",Fastrack Analog Black Dial Men's Casual Watch,NA
NA,Silicone,25 Millimeters,49.9 Millimeters,Plastic,16 Millimeters,-22%,https://m.media-amazon.com/images/I/414l07ZXtwL._SY300_SX300_.jpg,190 Grams,Fastrack,"₹1,240",233 ratings,TRUE,4.2,TRUE,"1,240",Fastrack Black Dial Analog Watch for Men -NR38058PP03,NA
NA,Plastic,22 Millimeters,35 Millimeters,"Plastic, Alloy Steel",8 Millimeters,,https://m.media-amazon.com/images/I/41F88lRIcAL._SY300_SX300_.jpg,45 Grams,Sonata, ,830 ratings,TRUE,4.2,TRUE,549,Sonata White Dial Analog watch For Men-NR7921PP15,
NA,Leather,22 Millimeters,46 Millimeters,Aluminium,17 Millimeters,-65%,https://m.media-amazon.com/images/I/519+H695XLL._SY300_SX300_.jpg,185 Grams,NAVIFORCE, ,251 ratings,TRUE,4.2,TRUE,"2,439",NAVIFORCE Analog Men's Watch (Green Dial Green Colored Strap),1 Year Seller Warranty
NA,Stainless Steel,22 Millimeters,39.18 Millimeters,Stainless Steel,8.08 Millimeters,-20%,https://m.media-amazon.com/images/I/31btcr6uZpL._SY300_SX300_.jpg,109 Grams,Titan,"₹1,596",874 ratings,TRUE,4.2,TRUE,"1,596",Titan Black Dial Analog Watch For Men -NR1578SM04,
NA,Silicone,22 Millimeters,5.7 Centimeters,Brass,10 Millimeters,-85%,https://m.media-amazon.com/images/I/41zbTPPYsyL._SX300_SY300_.jpg,NA,Matrix, ,168 ratings,TRUE,4.1,TRUE,379,Matrix Swap Analog Black Dial Watch with Interchangeable Straps for Men & Boys,1 Year Manufacturer Warranty
NA,Synthetic,24 Millimeters,35 Millimeters,Plastic,11 Millimeters,-4%,https://m.media-amazon.com/images/I/41Xtmy4z3vL._SY300_SX300_.jpg,NA,Sonata, ,"10,792 ratings",TRUE,4,TRUE,625,Sonata White Dial Analog watch For Men-NR7930PP01,
NA,Stainless Steel,24 Inches,38 Millimeters,Brass,35 Millimeters,-80%,https://m.media-amazon.com/images/I/51tSY+bQgFL._SY300_SX300_.jpg,250 Grams,HEMT,₹399,"1,375 ratings",TRUE,3.8,TRUE,399,HEMT Analog Multi Color Dial Men's Watch-HM-GR092-,1 year
NA,Stainless Steel,22 Millimeters,38 Millimeters,Brass,4,-82%,https://m.media-amazon.com/images/I/41jM-+2+oOS._SY300_SX300_.jpg,180 Grams,LOUIS DEVIN, ,331 ratings,TRUE,3.7,TRUE,479,LOUIS DEVIN LD-BK047-GLDBLK Black Metal Chain Analog Wrist Watch for Men,1 Year Manufacturer's warranty on all the manufacturing defects including the machine movement. Any damages due to wear and tear or mishandling of the product are not covered under warranty. The quartz movement is covered under warranty but the cell is not covered under warranty.
NA,Metal,22 Millimeters,44 Millimeters,Metal,9.45 Millimeters,-17%,https://m.media-amazon.com/images/I/41XwPlNrpBL._SY300_SX300_.jpg,150 Grams,Titan, ,766 ratings,TRUE,4.2,TRUE,"4,156",Titan Anthracite Dial Analog Watch For Men -NR1733KM01,
NA,Silicone,22 Millimeters,42 Millimeters,Stainless Steel,12,-86%,https://m.media-amazon.com/images/I/41WIROp7icS._SY300_SX300_.jpg,NA,Matrix, ,"4,197 ratings",TRUE,3.6,TRUE,284,Matrix Day & Date Analog Wrist Watch for Men & Boys (Black),1 Year Manufacturing Warranty Against Manufacturing Defects
NA,Leather,21 Millimeters,40 Millimeters,Stainless Steel,8 Millimeters,-30%,https://m.media-amazon.com/images/I/41C+fwJZ9JL._SY300_SX300_.jpg,41 Grams,Casio,"₹2,306","1,082 ratings",TRUE,4.3,TRUE,"2,306",Casio Analog Black Dial Men's Watch-MTP-VT01L-1BUDF (A1615),
NA,Silicone,11 Inches,4 Inches,Stainless Steel,4 Inches,-87%,https://m.media-amazon.com/images/I/51zL2PRPHZL._SX300_SY300_QL70_FMwebp_.jpg,NA,RPS FASHION WITH DEVICE OF R, ,34 ratings,FALSE,3.6,FALSE,125,RPS FASHION WITH DEVICE OF R Analog Black PU Strap Boys Girls Watch Analog,12 MONTH
NA,Stainless Steel,20 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-20%,https://m.media-amazon.com/images/I/41Vq3y0JKTL._SY300_SX300_.jpg,NA,NIBOSI, ,453 ratings,TRUE,3.8,TRUE,"3,199",NIBOSI Men's Watches Analog Minimalist Black Dial Watches for Men Business Chronograph Casual Watches with Stainless Steel Strap Date,one year
NA,Stainless Steel,40.2 Millimeters,46.5 Millimeters,Brass,7.7 Millimeters,-23%,https://m.media-amazon.com/images/I/41k9u3Vin1L._SY300_SX300_.jpg,150 Grams,Fastrack,"₹1,836",39 ratings,TRUE,4,TRUE,"1,836",Fastrack Stunners 4.0 Analog Watch,NA
NA,Stainless Steel,22.00 Centimeters,4.40 Centimeters,Stainless Steel,1.00 Centimeters,-47%,https://m.media-amazon.com/images/I/519vG2zKkdL._SX300_SY300_QL70_FMwebp_.jpg,NA,Carlson Raulen, ,140 ratings,TRUE,3.7,TRUE,"1,599",Carlson Raulen Chronograph Men Waterproof Luxury Fashion Military Design Quartz Sports Analog Wristwatches,no warranty
NA,Stainless Steel,18 Millimeters,45 Millimeters,Stainless Steel,12 Millimeters,-10%,https://m.media-amazon.com/images/I/51nB1cxzJJL._SY300_SX300_.jpg,118 Grams,Casio,"₹2,695","2,566 ratings",TRUE,4.4,TRUE,"2,695",Casio Enticer Analog Blue Dial Men's Watch-MTP-VD01D-2EVUDF (A1364),
NA,Silicone,25 Millimeters,5.4 Centimeters,Plastic,12.55 Millimeters,-12%,https://m.media-amazon.com/images/I/41iTdLRt9vL._SY300_SX300_.jpg,150 Grams,Fastrack,₹855,228 ratings,TRUE,4.2,TRUE,855,Fastrack Analog Unisex-Adult Watch,NA
NA,Leather,40 Millimeters,44 Millimeters,Brass,10.2 Millimeters,-30%,https://m.media-amazon.com/images/I/31JruFW1duL._SY300_SX300_.jpg,120 Grams,Fastrack, ,34 ratings,TRUE,4.1,TRUE,"3,076",Fastrack Grey Dial Analog Watch for Men -3272NL02,
NA,Metal,40.3 Millimeters,47.3 Millimeters,Brass,7.65 Millimeters,-20%,https://m.media-amazon.com/images/I/4160xd2o7tL._SY300_SX300_.jpg,120 Grams,Fastrack, ,63 ratings,TRUE,4.2,TRUE,"1,276",Fastrack Analog Silver Dial Men's Watch-3291SM02/NR3291SM02,NA
NA,Silicone,11 Inches,4 Inches,Stainless Steel,4 Inches,-87%,https://m.media-amazon.com/images/I/51zL2PRPHZL._SX300_SY300_QL70_FMwebp_.jpg,NA,RPS FASHION WITH DEVICE OF R, ,34 ratings,FALSE,3.6,FALSE,125,RPS FASHION WITH DEVICE OF R Analog Black PU Strap Boys Girls Watch Analog,12 MONTH
NA,Leather,22 Millimeters,49.2 Millimeters,Brass,11.2 Millimeters,-24%,https://m.media-amazon.com/images/I/41ohXHvkYuL._SY300_SX300_.jpg,190 Grams,Titan, ,70 ratings,TRUE,4.1,TRUE,"4,796",Titan White Dial Analog Watch For Men -NR1805SL04,2 years
NA,Leather,22 Millimeters,44 Millimeters,Brass,10.7 Millimeters,-34%,https://m.media-amazon.com/images/I/31az9mvuc7L._SY300_SX300_.jpg,150 Grams,Fastrack,"₹1,256",477 ratings,TRUE,4.3,TRUE,"1,256",Fastrack Bold Analog White Dial Men's Watch-NL38051SL06/NP38051SL06,
NA,NA,24 Millimeters,45 Millimeters,NA,13 Millimeters,-50%,https://m.media-amazon.com/images/I/51IB5zZkefL._SY300_SX300_.jpg,249 Grams,Fossil,"₹7,547","2,248 ratings",TRUE,4.4,TRUE,"7,547",Fossil Analog Black men Watch FS5164,NA
NA,Metal,21 Millimeters,42 Millimeters,Brass,7.7 Millimeters,-40%,https://m.media-amazon.com/images/I/41xtQfEIM9L._SY300_SX300_.jpg,200 Grams,Titan, ,651 ratings,TRUE,4.1,TRUE,"2,245",Titan Autumn-Winter 20 Analog Dial Men's Watch,
NA,Silicone,20 Millimeters,41 Millimeters,Stainless Steel,8 Millimeters,-73%,https://m.media-amazon.com/images/I/31EG3Yr-dsL._SY300_SX300_.jpg,200 Grams,FCUK,₹944,9 ratings,TRUE,4.2,TRUE,944,FCUK Analog White Dial Men's Watch-FK0011E,NA
NA,Stainless Steel,22 Millimeters,47 Millimeters,Brass,10 Millimeters,-10%,https://m.media-amazon.com/images/I/41mODAqkpnL._SY300_SX300_.jpg,200 Grams,Titan, ,596 ratings,TRUE,4.3,TRUE,"3,028",Titan Karishma Analog Silver Dial Men's Watch-NL1774BM01/NP1774BM01,
NA,NA,NA,NA,NA,NA,-50%,https://m.media-amazon.com/images/I/31mzCl78GeL._SX300_SY300_QL70_FMwebp_.jpg,NA,NA,"₹8,747.00",1 rating,TRUE,1,TRUE,"8,747",Emporio Armani Analog White Dial Women's Watch-AR11510,NA
NA,Stainless Steel,8 Millimeters,5.2 Centimeters,Metal,11.8 Millimeters,-30%,https://m.media-amazon.com/images/I/31yeDqk1AYL._SY300_SX300_.jpg,200 Grams,Fastrack, ,"3,216 ratings",TRUE,4.2,TRUE,"1,326",Fastrack Casual Analog Black Dial Men's Watch-NL3121SM02/NP3121SM02,
NA,Stainless Steel,24 Millimeters,50 Millimeters,Stainless Steel,10 Millimeters,-73%,https://m.media-amazon.com/images/I/514clHM8hKL._SY300_SX300_.jpg,120 Grams,SWADESI STUFF,₹399,318 ratings,TRUE,3.6,TRUE,399,SWADESI STUFF Multi Dial Chronograph Luxury Quartz Analog Watch for Men,6 Months
NA,Leather,42 Millimeters,48.9 Millimeters,Brass,7.55 Millimeters,,https://m.media-amazon.com/images/I/41pVH+dWNRL._SY300_SX300_.jpg,150 Grams,Fastrack, ,,TRUE,77105NL07-SDN874- SO - ESSENTIALS MODERN,TRUE,"1,449",Sonata Grey Dial Analog Watch for Men -77105NL07,NA
NA,Stainless Steel,18.25 Millimeters,36.5 Millimeters,Brass,9.7 Millimeters,-40%,https://m.media-amazon.com/images/I/41bSygB83eL._SY300_SX300_.jpg,180 Grams,Fastrack, ,163 ratings,TRUE,4.5,TRUE,"1,435",Fastrack Space Analog Blue Dial Women's Watch-NN6192SM01/NP6192SM01,
NA,Leather,20 Millimeters,37.5 Millimeters,Alloy Steel,8 Millimeters,-78%,https://m.media-amazon.com/images/I/41-foceMDKL._SY300_SX300_.jpg,NA,TIMEWEAR, ,822 ratings,TRUE,3.7,TRUE,329,TIMEWEAR Analog New Track Number Dial Day Date Functioning Leather Strap Watch for Men,One Year Manufacturer Warranty
NA,Leather,20 Millimeters,41 Millimeters,Brass,7.35 Millimeters,-34%,https://m.media-amazon.com/images/I/41GcLBzztbL._SY300_SX300_.jpg,300 Grams,TIMEX,"₹1,910.70",119 ratings,TRUE,4,TRUE,"1,910",TIMEX Analog Black Dial Men's Watch-TWTG80SMU04,"1 Years manufacturer warranty from the date of purchase: How to avail Warranty? • To claim your warranty, produce either an original bill copy/invoice or warranty card at any authorized Timex service centre. • For any service related enquiries and feedback, call Timex India toll free number 1800 419 2727 Monday to Saturday, 10.00 am to 7.00 pm(except government holidays) or mail at custservice@timexindia.com, feedback@timexindia.com"
NA,NA,NA,NA,NA,NA,-40%,https://m.media-amazon.com/images/I/41NZ9gyDMdL._SY300_SX300_.jpg,NA,NA, ,17 ratings,TRUE,4.2,TRUE,"2,637",Casio Analog Rose Gold Dial Men's Watch-MTP-1381HD-9AVIF (A1768),NA
NA,Stainless Steel,20 Millimeters,38 Millimeters,Brass,8.83 Millimeters,,https://m.media-amazon.com/images/I/41Lj4kprcsL._SY300_SX300_.jpg,150 Grams,Sonata, ,"1,815 ratings",TRUE,4.1,TRUE,"1,099",Sonata Essentials Analog White Dial Men's Watch NM77083SM01 / NL77083SM01,
NA,Stainless Steel,22 Millimeters,39.18 Millimeters,Stainless Steel,8.08 Millimeters,-20%,https://m.media-amazon.com/images/I/31btcr6uZpL._SY300_SX300_.jpg,109 Grams,Titan, ,874 ratings,TRUE,4.2,TRUE,"1,596",Titan Black Dial Analog Watch For Men -NR1578SM04,
NA,Silicone,22 Millimeters,5.7 Centimeters,Plastic,10 Millimeters,-86%,https://m.media-amazon.com/images/I/419S2xoOBGL._SY300_SX300_.jpg,NA,Matrix, ,78 ratings,TRUE,3.5,TRUE,284,Matrix Analog Big Black Dial Silicone Strap Wrist Watch for Men & Boys,1 Year Manufacturer Warranty
NA,Silicone,27 Millimeters,5.3 Centimeters,Plastic,15.5 Millimeters,-20%,https://m.media-amazon.com/images/I/41-t7NktOyL._SY300_SX300_.jpg,190 Grams,Fastrack, ,131 ratings,TRUE,4.1,TRUE,"1,516",Fastrack Trendies Analog Black Dial Men's Watch-38057PP02/NP38057PP02,NA
NA,NA,NA,NA,NA,NA,-63%,https://m.media-amazon.com/images/I/31wh5-bdkPL._SY300_SX300_.jpg,NA,NA, ,1 rating,TRUE,5,TRUE,"1,294",FCUK Analog White Dial Men's Watch-FC179W.1,NA
NA,Silicone,20 Millimeters,40 Millimeters,Stainless Steel,8 Millimeters,-48%,https://m.media-amazon.com/images/I/31eatRaMRZL._SY300_SX300_.jpg,250 Grams,FCUK,"₹1,225.00",6 ratings,TRUE,3.8,TRUE,"1,225",FCUK Analog White Dial Men's Watch-FC179W.2,NA
NA,Leather,20 Millimeters,45 Millimeters,Plastic,10.5 Millimeters,-5%,https://m.media-amazon.com/images/I/41gkqFszrVL._SY300_SX300_.jpg,150 Grams,Sonata,₹899,823 ratings,TRUE,4.2,TRUE,899,Sonata Volt+ Analog Black Dial Men's Watch NM77086PL01 / NL77086PL01/NP77086PL01W,
NA,Rubber,24 Millimeters,49.1 Millimeters,Brass,7.55 Millimeters,,https://m.media-amazon.com/images/I/41-Y98b8raL._SY300_SX300_.jpg,65 Grams,Sonata,₹999,217 ratings,TRUE,4.3,TRUE,999,Sonata Black Dial Analog watch For Men-NP77107SP02W,
NA,Stainless Steel,21 Millimeters,51,Brass,11,-84%,https://m.media-amazon.com/images/I/41UmS9XjnaL._SY300_SX300_.jpg,NA,Carlington,₹648,48 ratings,TRUE,3.2,TRUE,648,Carlington Premium Watch for Men with Black Colored Chain Watch for Men Stainless Steel and Scratch Resistance,1 Year Manufacturer's warranty on all the manufacturing defects. Any damages due to wear and tear or mishandling of the product are not covered under warranty. Cell is not covered under warranty
NA,Stainless Steel,23 Millimeters,38 Millimeters,Silver,13 Millimeters,-60%,https://m.media-amazon.com/images/I/51NFl1gAIfL._SX300_SY300_QL70_FMwebp_.jpg,152 Grams,LONGBO, ,472 ratings,TRUE,4,TRUE,722,LONGBO Silver Business Casual Stainless Steel Decorative Subdials Big Black Dial Scratch Resistant Waterproof Watch for Men and Boys,"1 Year Domestic Warranty from any manufacturing defects. Battery, Plating and Waterproofing are not covered under warranty"
NA,Stainless Steel,22 Millimeters,45 Millimeters,Stainless Steel,12 Millimeters,-79%,https://m.media-amazon.com/images/I/41hLTZxXcJL._SY300_SX300_.jpg,NA,Shocknshop, ,110 ratings,TRUE,3.6,TRUE,375,Shocknshop Analog Black Stainless Steel Chain Wrist Watch for Men Boys (Black Colored Dial Strap),Manufecturing Defects
NA,Leather,20 Millimeters,48 Millimeters,Brass,8.5 Millimeters,-5%,https://m.media-amazon.com/images/I/41hG15Y8XDL._SY300_SX300_.jpg,180 Grams,Sonata, ,840 ratings,TRUE,4.2,TRUE,875,Sonata Analog White Dial Men's Watch-7135SL03/NP7135SL03,1 year
NA,Stainless Steel,20.35 Millimeters,40.7 Millimeters,Brass,12.8 Millimeters,-20%,https://m.media-amazon.com/images/I/41513YDoqLL._SY300_SX300_.jpg,180 Grams,Fastrack, ,380 ratings,TRUE,4.3,TRUE,"2,076",Fastrack Black Dial Analog Watch For Men -NR3184NM01,
NA,Stainless Steel,16 Millimeters,32 Millimeters,Alloy Steel,7 Millimeters,-73%,https://m.media-amazon.com/images/I/41m0j7iutLS._SY300_SX300_.jpg,NA,TIMEWEAR, ,565 ratings,TRUE,3.9,TRUE,299,TIMEWEAR Analog Number Dial Stainless Steel Strap Watch for Women,One Year Manufacturer Warranty
NA,Resin,45 Millimeters,45 Millimeters,Resin,10.3 Millimeters,-30%,https://m.media-amazon.com/images/I/41u0Exoq4LL._SY300_SX300_.jpg,10 Grams,Casio,"₹2,096.50",15 ratings,TRUE,4.5,TRUE,"2,096",Casio Analog Black Dial Men's Watch-MTP-VD01-5EVUDF,NA
NA,Stainless Steel,20 Millimeters,37.5 Millimeters,Alloy Steel,8 Millimeters,-79%,https://m.media-amazon.com/images/I/413DUptpXFL._SY300_SX300_.jpg,NA,TIMEWEAR, ,23 ratings,TRUE,3.6,TRUE,329,"TIMEWEAR Analog Day Date Functioning, Stainless Steel Chain Watch for Men",One Year Manufacturer Warranty
NA,Plastic,20 Millimeters,43.8 Millimeters,Plastic,NA,,https://m.media-amazon.com/images/I/41HGGiTOBqL._SY300_SX300_.jpg,150 Grams,Sonata,₹649,"1,598 ratings",TRUE,4.2,TRUE,649,Sonata Digital Grey Dial Men's Watch-NL77072PP02/NP77072PP02,
NA,Leather,20 Millimeters,45 Millimeters,Plastic,10.5 Millimeters,-5%,https://m.media-amazon.com/images/I/41gkqFszrVL._SY300_SX300_.jpg,150 Grams,Sonata,₹899,823 ratings,TRUE,4.2,TRUE,899,Sonata Volt+ Analog Black Dial Men's Watch NM77086PL01 / NL77086PL01/NP77086PL01W,
NA,Leather,26.25 Millimeters,5.2 Centimeters,Brass,11.4 Millimeters,-41%,https://m.media-amazon.com/images/I/31tlARVR5CL._SY300_SX300_.jpg,100 Grams,Fastrack, ,378 ratings,TRUE,4.2,TRUE,"1,241",Fastrack Analog Men's Watch (Dial Colored Strap),
NA,Silicone,50 Millimeters,47.3 Millimeters,Brass,7.65 Millimeters,-10%,https://m.media-amazon.com/images/I/41MUjLORfZL._SY300_SX300_.jpg,150 Grams,Fastrack, ,12 ratings,TRUE,3.9,TRUE,715,Fastrack Analog Green Dial Men's Casual Watch,NA
NA,Silicone,16 Millimeters,45 Millimeters,Silicone,7 Millimeters,-77%,https://m.media-amazon.com/images/I/41L9A+eRG5L._SY300_SX300_.jpg,NA,SWADESI STUFF,₹229,"3,236 ratings",TRUE,3.5,TRUE,229,SWADESI STUFF Square Multi DIAL Analog Silicon Strap ADDI Stylish Designer Analog Watch - for Boys,6 MONTHS
NA,Stainless Steel,22 Millimeters,42 Millimeters,Stainless Steel,10 Millimeters,-88%,https://m.media-amazon.com/images/I/5196O9trUrL._SY300_SX300_.jpg,NA,Matrix, ,362 ratings,TRUE,3.6,TRUE,299,"Matrix Black, Blue, White Dial, Day & Date Functioning, Stainless Steel Strap Analog Watch for Men & Women",1 Year Manufacturer Warranty
NA,Resin,16 Millimeters,40 Millimeters,Resin,12 Millimeters,-37%,https://m.media-amazon.com/images/I/51SS1bBgUPL._SY300_SX300_.jpg,50 Grams,Casio, ,349 ratings,TRUE,4.3,TRUE,"3,077",Casio Men's Analog Watch MCW-100H-9A2VDF (AD215) Black,
NA,Silicone,21.87 Millimeters,49.12 Millimeters,Plastic,12.23 Millimeters,-50%,https://m.media-amazon.com/images/I/41TVvmWjOcL._SY300_SX300_.jpg,150 Grams,Fastrack, ,76 ratings,TRUE,4,TRUE,497,Fastrack Analog Unisex-Adult Watch,NA
NA,Leather,20,NA,Silver,12 Millimeters,-88%,https://m.media-amazon.com/images/I/410Oa9TRyfL._SY300_SX300_.jpg,180 Grams,LOUIS DEVIN, ,"2,589 ratings",TRUE,3.7,TRUE,299,LOUIS DEVIN WT030 Leather Strap Analog Wrist Watch for Men,NA
NA,Leather,22 Millimeters,5.1 Centimeters,Brass,43 Millimeters,-34%,https://m.media-amazon.com/images/I/51r184XJ2WL._SY300_SX300_.jpg,150 Grams,Titan, ,396 ratings,TRUE,4.4,TRUE,"3,986",Titan Neo Analog Silver Dial Men's Watch-NL1734WL01/NP1734WL01,
NA,Leather,22 Millimeters,44.5 Millimeters,Brass,12.1 Millimeters,-26%,https://m.media-amazon.com/images/I/41Z9xa7PDcL._SY300_SX300_.jpg,190 Grams,Fastrack,"₹3,562",95 ratings,TRUE,4,TRUE,"3,562",Fastrack Fastfit Analog Black Dial Men's Watch-3224NL01/NR3224NL01,NA
NA,Leather,22,21,NA,12 Millimeters,-88%,https://m.media-amazon.com/images/I/417aFoXc-dL._SY300_SX300_.jpg,NA,LOUIS DEVIN,₹299,663 ratings,TRUE,3.5,TRUE,299,LOUIS DEVIN Leather Strap Analog Wrist Watch for Men,NA
NA,Metal,32.3 Millimeters,40 Millimeters,Brass,7.25 Millimeters,,https://m.media-amazon.com/images/I/41x8VUy7UjL._SY300_SX300_.jpg,120 Grams,Fastrack, ,5 ratings,FALSE,4.7,FALSE,"1,916",Fastrack Analog Blue Dial Women's Watch-6152QM01,NA
NA,Stainless Steel,14 Millimeters,34 Millimeters,NA,8 Millimeters,-40%,https://m.media-amazon.com/images/I/41-zK4YWpES._SY300_SX300_.jpg,118 Grams,Fossil, ,"3,116 ratings",TRUE,4.5,TRUE,"7,197",Fossil Analog Rose Gold Dial Women's Watch-BQ3181,NA
